85,21,87,2024-06-18 20:45:09,2024-06-18 20:45:09
86,18,88,2024-06-18 20:45:19,2024-06-18 20:45:19
87,13,85,2024-06-18 20:46:01,2024-06-18 20:46:01
88,11,33,2024-06-19 19:38:08,2024-06-19 19:38:08
89,11,35,2024-06-19 19:38:19,2024-06-19 19:38:19
90,12,34,2024-06-19 19:38:26,2024-06-19 19:38:26
91,12,36,2024-06-19 19:38:32,2024-06-19 19:38:32
92,5,78,2024-06-20 10:51:35,2024-06-20 10:51:35
93,23,1,2024-06-20 11:07:17,2024-06-20 11:07:17
94,23,2,2024-06-20 11:07:23,2024-06-20 11:07:23
95,23,3,2024-06-20 11:07:27,2024-06-20 11:07:27
96,23,5,2024-06-20 11:07:31,2024-06-20 11:07:31
97,24,6,2024-06-20 11:08:35,2024-06-20 11:08:35
98,24,7,2024-06-20 11:08:42,2024-06-20 11:08:42
99,24,8,2024-06-20 11:08:48,2024-06-20 11:08:48
100,24,10,2024-06-20 11:08:57,2024-06-20 11:08:57
101,25,11,2024-06-20 11:09:25,2024-06-20 11:09:25
102,25,14,2024-06-20 11:09:32,2024-06-20 11:09:32
103,25,12,2024-06-20 11:09:40,2024-06-20 11:09:40
104,25,13,2024-06-20 11:09:44,2024-06-20 11:09:44
105,26,19,2024-06-20 11:09:57,2024-06-20 11:09:57
106,26,20,2024-06-20 11:10:02,2024-06-20 11:10:02
107,26,21,2024-06-20 11:10:07,2024-06-20 11:10:07
109,26,23,2024-06-20 11:10:20,2024-06-20 11:10:20
110,26,24,2024-06-20 11:10:25,2024-06-20 11:10:25
111,26,25,2024-06-20 11:10:30,2024-06-20 11:10:30
113,26,26,2024-06-20 11:10:40,2024-06-20 11:10:40
114,26,27,2024-06-20 11:10:45,2024-06-20 11:10:45
115,27,28,2024-06-20 11:11:15,2024-06-20 11:11:15
116,27,29,2024-06-20 11:11:23,2024-06-20 11:11:23
117,27,30,2024-06-20 11:11:31,2024-06-20 11:11:31
118,27,31,2024-06-20 11:11:38,2024-06-20 11:11:38
119,28,76,2024-06-20 11:12:15,2024-06-20 11:12:15
120,29,77,2024-06-20 11:12:21,2024-06-20 11:12:21
122,30,30,2024-06-20 11:27:01,2024-06-20 11:27:01
124,32,34,2024-06-20 11:47:11,2024-06-20 11:47:11
125,32,35,2024-06-20 11:47:16,2024-06-20 11:47:16
126,32,36,2024-06-20 11:47:22,2024-06-20 11:47:22
123,31,33,2024-06-20 11:47:00,2024-06-20 11:47:32
